dt;category_1;melt;c;si;mn;сr;ni;ti;al;w;mo;nb;v;s;p;co;ce;b;pb;bi;sb;as;sn;cu;о;n;ca
2019-01-24;12Х18Н10Т ГОСТ 5632-72;6-19-2-186;0.0569;0.193;1.199;17.448;10.343;0.596;0.109;0.015;0.076;0.027;0.067;0.0022;0.026;0.043;0.015;0.0031;0.003;0.012;0.001;0.001;0.0045;0.143;0.009;0.016;0.0025
2019-01-24;12Х18Н10Т ГОСТ 5632-72;6-19-2-187;0.0716;0.249;1.216;17.238;10.311;0.577;0.107;0.026;0.132;0.044;0.069;0.0052;0.024;0.038;0.015;0.0027;0.002;0.01;0.001;0.001;0.0036;0.161;0.011;0.018;0.0026
2019-01-24;12Х18Н10Т ГОСТ 5632-72;6-19-2-203;0.0751;0.348;1.184;17.69;10.538;0.628;0.124;0.01;0.077;0.046;0.078;0.0031;0.023;0.037;0.018;0.0025;0.003;0.011;0.001;0.001;0.0034;0.11;0.006;0.015;0.0044
2019-03-17;12Х18Н10Т ГОСТ 5632-72;6-19-2-629;0.0643;0.347;1.2;17.59;10.6;0.512;0.083;0.074;0.166;0.035;0.051;0.0028;0.026;0.071;0.009;0.0026;0.001;0.009;0.005;0.001;0.007;0.213;0.012;0.017;0.0022
2019-04-24;12Х18Н10Т ГОСТ 5632-72;6-19-2-860;0.0569;0.241;1.086;17.307;10.484;0.674;0.103;0.048;0.163;0.029;0.053;0.0043;0.028;0.109;0.01;0.0001;0.001;0.011;0.003;0.001;0.0054;0.171;0.016;0.013;0.0013
2019-04-25;12Х18Н10Т ГОСТ 5632-72;6-19-2-865;0.0557;0.261;1.174;17.727;10.52;0.465;0.053;0.027;0.155;0.017;0.05;0.0083;0.027;0.122;0.014;0.0022;0.003;0.011;0.001;0.001;0.0036;0.185;0.013;0.019;0.0013
2019-04-26;12Х18Н10Т ГОСТ 5632-72;6-19-2-868;0.0586;0.246;1.102;17.966;10.546;0.637;0.093;0.034;0.151;0.021;0.059;0.004;0.028;0.118;0.015;0.0019;0.002;0.011;0.001;0.001;0.0051;0.191;0.016;0.014;0.0017
2019-05-18;12Х18Н10Т ГОСТ 5632-72;6-19-2-1003;0.0781;0.338;1.041;17.458;10.469;0.577;0.071;0.039;0.144;0.015;0.036;0.0082;0.013;0.034;0.01;0.0024;0.002;0.012;0.001;0.001;0.0042;0.136;0.01;0.018;0.0023
2019-05-19;12Х18Н10Т-У ОСТ 108.109.01-92;6-19-2-1004;0.0658;0.321;1.114;17.402;9.966;0.653;0.085;0.01;0.102;0.006;0.03;0.0036;0.006;0.024;0.009;0.0028;0.002;0.013;0.001;0.001;0.006;0.14;0.006;0.012;0.0016
2019-05-19;12Х18Н10Т ГОСТ 5632-72;6-19-2-1005;0.06;0.362;1.036;17.519;10.534;0.66;0.088;0.047;0.14;0.007;0.044;0.0063;0.009;0.037;0.009;0.0028;0.002;0.013;0.001;0.001;0.0052;0.142;0.007;0.013;0.0018
